"","study","variable","subsample","percentage","n","comment","value","mean","sd","median","moment","minimum","maximum","qualitative","size","recruitmentSetting","year","startyear","endyear","geography","descent","samplingMethod","samplingAselect","dependent","datatype","specifiesSubsample","frequency","depVarValue","depVarName","period","varType","intensitySpecification","specificationUnits","specificationTimeframe","aboutBinging","aboutAlcoholism","labels","recodeToCategory","gramsAlcoholSpecifiedByAuthors_mean","gramsAlcoholSpecifiedByAuthors_sd","gramsInOneUnitToUse","gramsAlcoholFromUnits_mean","gramsAlcoholFromUnits_sd","gramsAlcohol_mean","gramsAlcohol_sd","timeframeForGrams","gramTimeframeMultiplier","gramsAlcohol_mean_perday","gramsAlcohol_sd_perday","alcoholGrams_ci.lb","alcoholGrams_ci.ub"
"11","Cannon2012.r","FAS diagnosis","FAS mothers, Total","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,353,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,TRUE,"logical",TRUE,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control | FAS",NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Cannon2012.r","FAS diagnosis","Control mothers, Total","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3894874,"records",NA,1995,1997,"United States","mixed","retrospective",FALSE,TRUE,"logical",TRUE,3894874,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control | FAS",NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Ceccanti2014.r","Drinks before a day","FASD mothers",NA,NA,"Total nr of standard drinks per day 3 months prior to pregnancy; see table 2 page 204",NA,0.94,1.65,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis","before","units","any day","units","per day","FALSE","FALSE",NA,"Alcohol consumption before",NA,NA,"12",11.28,19.8,11.28,19.8,"day",1,11.28,19.8,4.86158249918787,17.6984175008121
"14","Ceccanti2014.r","Drinks before a day","Control mothers R-S",NA,NA,"Total nr of standard drinks per day 3 months prior to pregnancy;see table 2 page 204",NA,0.63,0.76,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis","before","units","any day","units","per day","FALSE","FALSE",NA,"Alcohol consumption before",NA,NA,"12",7.56,9.12,7.56,9.12,"day",1,7.56,9.12,5.82031504993988,9.29968495006012
"15","Ceccanti2014.r","Drinks during a week","FASD mothers",NA,NA,"Average nr of drinks per week during pregnancy; see table 2 page 204",NA,1.12,3.2,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis","during","units","weekday","units","per week","FALSE","FALSE",NA,"Alcohol consumption during",NA,NA,"12",13.44,38.4,13.44,38.4,"week",0.142368240930869,1.91342915811088,5.46694045174538,0.141252262025765,3.68560613797424
"16","Ceccanti2014.r","Drinks during a week","Control mothers R-S",NA,NA,"Average nr of drinks per week during pregnancy; see table 2 page 204",NA,0.49,1.76,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis","during","units","weekday","units","per week","FALSE","FALSE",NA,"Alcohol consumption during",NA,NA,"12",5.88,21.12,5.88,21.12,"week",0.142368240930869,0.837125256673511,3.00681724845996,0.263560137446829,1.41069046255317
"17","Ceccanti2014.r","Drinks during a drinking day","FASD mothers",NA,NA,"Drinks consumed per drinking day during pregnancy; see table 2 page 204",NA,0.44,0.6,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis","during","units","any day","units","per day","FALSE","FALSE",NA,"Alcohol consumption during",NA,NA,"12",5.28,7.2,5.28,7.2,"day",1,5.28,7.2,2.94602999970468,7.61397000029532
"18","Ceccanti2014.r","Drinks during a drinking day","Control mothers R-S",NA,NA,"Drinks consumed per drinking day during pregnancy;see table 2 page 204",NA,0.31,0.52,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis","during","units","any day","units","per day","FALSE","FALSE",NA,"Alcohol consumption during",NA,NA,"12",3.72,6.24,3.72,6.24,"day",1,3.72,6.24,2.52968924469571,4.91031075530429
"19","Ceccanti2014.r","Binge during","FASD mothers","5.1",NA,"Binge, 3 drinks per occasion during pregnancy; see table 2 page 204",1,NA,NA,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"logical",FALSE,1.989,1,"FASD diagnosis","during","units","any day","NA","per occasion","TRUE","FALSE",NA,"Binge during",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Ceccanti2014.r","Binge during","Control mothers R-S","0",NA,"Binge, 3 drinks per occasion during pregnancy; see table 2 page 204",1,NA,NA,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"logical",FALSE,0,0,"FASD diagnosis","during","units","any day","NA","per occasion","TRUE","FALSE",NA,"Binge during",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Ceccanti2014.r","Binge current","FASD mothers","10.3",NA,"Binge, 3 drinks per occasion current; see table 2 page 204",1,NA,NA,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"logical",FALSE,4.017,1,"FASD diagnosis","current","units","any day","NA","per occasion","TRUE","FALSE",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Ceccanti2014.r","Binge current","Control mothers R-S","6.5",NA,"Binge, 3 drinks per occasion current;see table 2 page 204",1,NA,NA,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"logical",FALSE,7.02,0,"FASD diagnosis","current","units","any day","NA","per occasion","TRUE","FALSE",NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Ceccanti2014.r","Drinks during first trimester","FASD mothers",NA,NA,"Drinks consumed per day, 1st trimester; see table 2 page 204",NA,0.32,0.51,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis","1st","units","any day","units","per day","FALSE","FALSE",NA,"Alcohol consumption first trimester",NA,NA,"12",3.84,6.12,3.84,6.12,"day",1,3.84,6.12,1.85612549974898,5.82387450025102
"24","Ceccanti2014.r","Drinks during first trimester","Control mothers R-S",NA,NA,"Drinks consumed per day, 1st trimester;see table 2 page 204",NA,0.23,0.45,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis","1st","units","any day","units","per day","FALSE","FALSE",NA,"Alcohol consumption first trimester",NA,NA,"12",2.76,5.4,2.76,5.4,"day",1,2.76,5.4,1.72992338483282,3.79007661516717
"25","Ceccanti2014.r","Drinks during second trimester","FASD mothers",NA,NA,"Drinks consumed per day, 2nd trimester; see table 2 page 204",NA,0.37,0.53,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis","1st","units","any day","units","per day","FALSE","FALSE",NA,"Alcohol consumption second trimester",NA,NA,"12",4.44,6.36,4.44,6.36,"day",1,4.44,6.36,2.37832649973913,6.50167350026087
"26","Ceccanti2014.r","Drinks during second trimester","Control mothers R-S",NA,NA,"Drinks consumed per day, 2nd trimester;see table 2 page 204",NA,0.22,0.44,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis","1st","units","any day","units","per day","FALSE","FALSE",NA,"Alcohol consumption second trimester",NA,NA,"12",2.64,5.28,2.64,5.28,"day",1,2.64,5.28,1.63281397628098,3.64718602371902
"27","Ceccanti2014.r","Drinks during third trimester","FASD mothers",NA,NA,"Drinks consumed per day, 3rd trimester; see table 2 page 204",NA,0.36,0.54,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis","1st","units","any day","units","per 108day","FALSE","FALSE",NA,"Alcohol consumption third trimester",NA,NA,"12",4.32,6.48,4.32,6.48,"day",1,4.32,6.48,2.21942699973421,6.42057300026579
"28","Ceccanti2014.r","Drinks during third trimester","Control mothers R-S",NA,NA,"Drinks consumed per day, 3rd trimester; see table 2 page 204",NA,0.22,0.44,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis","1st","units","any day","units","per 108day","FALSE","FALSE",NA,"Alcohol consumption third trimester",NA,NA,"12",2.64,5.28,2.64,5.28,"day",1,2.64,5.28,1.63281397628098,3.64718602371902
"29","Ceccanti2014.r","FASD diagnosis","FASD mothers","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,TRUE,"logical",TRUE,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control | FASD",NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Ceccanti2014.r","FASD diagnosis","Control mothers R-S","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,TRUE,"logical",TRUE,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control | FASD",NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Coyne2008.r","Smoking before","Case mothers","7.5",3,"Number of people in this category none, 0 / day; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.225,1,"FAS diagnosis","before","units","NA","NA","per week","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"32","Coyne2008.r","Smoking before","Control mothers","28.3",15,"Number of people in this category none, 0 / day; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.245,0,"FAS diagnosis","before","units","NA","NA","per week","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"33","Coyne2008.r","Smoking before","Case mothers","27.5",11,"Number of people in this category none, < 10 /day; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3.025,1,"FAS diagnosis","before","units","NA","NA","per week","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"34","Coyne2008.r","Smoking before","Control mothers","30.2",16,"Number of people in this category none, < 10 /day; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.832,0,"FAS diagnosis","before","units","NA","NA","per week","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"35","Coyne2008.r","Smoking before","Case mothers","17.5",7,"Number of people in this category none, 11-20 /day; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,1.225,1,"FAS diagnosis","before","units","NA","NA","per week","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"36","Coyne2008.r","Smoking before","Control mothers","11.3",6,"Number of people in this category none, 11-20 /day; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.678,0,"FAS diagnosis","before","units","NA","NA","per week","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"37","Coyne2008.r","Smoking before","Case mothers","47.5",19,"Number of people in this category none, > 20 /day; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,9.025,1,"FAS diagnosis","before","units","NA","NA","per week","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"38","Coyne2008.r","Smoking before","Control mothers","30.2",16,"Number of people in this category none, > 20 /day; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.832,0,"FAS diagnosis","before","units","NA","NA","per week","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"39","Coyne2008.r","Drinking before a week","Case mothers","11.9",42,"Number of people in this category none, 0 mg/week; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.998,1,"FAS diagnosis","before","units","NA","NA","a week","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"40","Coyne2008.r","Drinking before a week","Control mothers","31.8",44,"Number of people in this category none, 0 mg/week; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,13.992,0,"FAS diagnosis","before","units","NA","NA","a week","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"41","Coyne2008.r","Drinking before a week","Case mothers","2.4",42,"Number of people in this category mild, <20 mg/week; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,1.008,1,"FAS diagnosis","before","units","NA","NA","a week","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"42","Coyne2008.r","Drinking before a week","Control mothers","15.9",44,"Number of people in this category mild, <20 mg/week; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,6.996,0,"FAS diagnosis","before","units","NA","NA","a week","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"43","Coyne2008.r","Drinking before a week","Case mothers","9.5",42,"Number of people in this category moderate, 20-80 mg/week; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3.99,1,"FAS diagnosis","before","units","NA","NA","a week","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"44","Coyne2008.r","Drinking before a week","Control mothers","22.7",44,"Number of people in this category moderate, 20-80 mg/week; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,9.988,0,"FAS diagnosis","before","units","NA","NA","a week","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"45","Coyne2008.r","Drinking before a week","Case mothers","76.2",42,"Number of people in this category heavy, >80 mg/week; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,32.004,1,"FAS diagnosis","before","units","NA","NA","a week","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"46","Coyne2008.r","Drinking before a week","Control mothers","29.5",44,"Number of people in this category heavy, >80 mg/week; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,12.98,0,"FAS diagnosis","before","units","NA","NA","a week","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption before",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"47","Coyne2008.r","Smoking during","Case mothers","7",3,"Number of people in this category none, 0 / day; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.21,1,"FAS diagnosis","during","units","NA","g","per week]","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"48","Coyne2008.r","Smoking during","Control mothers","47.4",27,"Number of people in this category none, 0 / day; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,12.798,0,"FAS diagnosis","during","units","NA","g","per week]","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"49","Coyne2008.r","Smoking during","Case mothers","27.9",12,"Number of people in this category none, < 10 /day; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3.348,1,"FAS diagnosis","during","units","NA","g","per week]","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"50","Coyne2008.r","Smoking during","Control mothers","31.6",18,"Number of people in this category none, < 10 /day; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,5.688,0,"FAS diagnosis","during","units","NA","g","per week]","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"51","Coyne2008.r","Smoking during","Case mothers","18.6",8,"Number of people in this category none, 11-20 /day; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,1.488,1,"FAS diagnosis","during","units","NA","g","per week]","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"52","Coyne2008.r","Smoking during","Control mothers","8.8",5,"Number of people in this category none, 11-20 /day; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.44,0,"FAS diagnosis","during","units","NA","g","per week]","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"53","Coyne2008.r","Smoking during","Case mothers","46.5",20,"Number of people in this category none, > 20 /day; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,9.3,1,"FAS diagnosis","during","units","NA","g","per week]","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"54","Coyne2008.r","Smoking during","Control mothers","12.3",7,"Number of people in this category none, > 20 /day; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.861,0,"FAS diagnosis","during","units","NA","g","per week]","FALSE","FALSE","none | < 10/day | 11-20 /day | >20 /day","Smoking during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
"55","Coyne2008.r","Alcohol consumption: during a week","Case mothers","22.2",45,"Number of people in this category none, 0 mg/week; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,9.99,1,"FAS diagnosis","during","units","NA","NA","per week]","FALSE","FALSE","none (0 g/week) | mild (0-20 g/week) | moderate (20-80 g/week) | heavy (>80 g/week)","Alcohol consumption during",NA,NA,NA,NA,NA,NA,NA,"week",0.142368240930869,NA,NA,NA,NA
