"","study","variable","subsample","percentage","n","comment","value","mean","sd","median","moment","minimum","maximum","qualitative","size","recruitmentSetting","year","startyear","endyear","geography","descent","samplingMethod","samplingAselect","dependent","datatype","specifiesSubsample","frequency","depVarValue","depVarName"
"26","Ceccanti2014.r","Drinks during second trimester","Control mothers R-S",NA,NA,"Drinks consumed per day, 2nd trimester;see table 2 page 204",NA,0.22,0.44,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"27","Ceccanti2014.r","Drinks during third trimester","FASD mothers",NA,NA,"Drinks consumed per day, 3rd trimester; see table 2 page 204",NA,0.36,0.54,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"28","Ceccanti2014.r","Drinks during third trimester","Control mothers R-S",NA,NA,"Drinks consumed per day, 3rd trimester; see table 2 page 204",NA,0.22,0.44,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"29","Ceccanti2014.r","FASD diagnosis","FASD mothers","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,39,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,TRUE,"logical",TRUE,39,NA,NA
"30","Ceccanti2014.r","FASD diagnosis","Control mothers R-S","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,108,"school",2014,NA,NA,"Italy","non-native","retrospective",FALSE,TRUE,"logical",TRUE,108,NA,NA
"31","Coyne2008.r","Smoking before","Case mothers","7.5",3,"Number of people in this category none, 0 / day; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.225,1,"FAS diagnosis"
"32","Coyne2008.r","Smoking before","Control mothers","28.3",15,"Number of people in this category none, 0 / day; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.245,0,"FAS diagnosis"
"33","Coyne2008.r","Smoking before","Case mothers","27.5",11,"Number of people in this category none, < 10 /day; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3.025,1,"FAS diagnosis"
"34","Coyne2008.r","Smoking before","Control mothers","30.2",16,"Number of people in this category none, < 10 /day; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.832,0,"FAS diagnosis"
"35","Coyne2008.r","Smoking before","Case mothers","17.5",7,"Number of people in this category none, 11-20 /day; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,1.225,1,"FAS diagnosis"
"36","Coyne2008.r","Smoking before","Control mothers","11.3",6,"Number of people in this category none, 11-20 /day; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.678,0,"FAS diagnosis"
"37","Coyne2008.r","Smoking before","Case mothers","47.5",19,"Number of people in this category none, > 20 /day; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,9.025,1,"FAS diagnosis"
"38","Coyne2008.r","Smoking before","Control mothers","30.2",16,"Number of people in this category none, > 20 /day; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.832,0,"FAS diagnosis"
"39","Coyne2008.r","Drinking before a week","Case mothers","11.9",42,"Number of people in this category none, 0 mg/week; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.998,1,"FAS diagnosis"
"40","Coyne2008.r","Drinking before a week","Control mothers","31.8",44,"Number of people in this category none, 0 mg/week; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,13.992,0,"FAS diagnosis"
"41","Coyne2008.r","Drinking before a week","Case mothers","2.4",42,"Number of people in this category mild, <20 mg/week; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,1.008,1,"FAS diagnosis"
"42","Coyne2008.r","Drinking before a week","Control mothers","15.9",44,"Number of people in this category mild, <20 mg/week; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,6.996,0,"FAS diagnosis"
"43","Coyne2008.r","Drinking before a week","Case mothers","9.5",42,"Number of people in this category moderate, 20-80 mg/week; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3.99,1,"FAS diagnosis"
"44","Coyne2008.r","Drinking before a week","Control mothers","22.7",44,"Number of people in this category moderate, 20-80 mg/week; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,9.988,0,"FAS diagnosis"
"45","Coyne2008.r","Drinking before a week","Case mothers","76.2",42,"Number of people in this category heavy, >80 mg/week; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,32.004,1,"FAS diagnosis"
"46","Coyne2008.r","Drinking before a week","Control mothers","29.5",44,"Number of people in this category heavy, >80 mg/week; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,12.98,0,"FAS diagnosis"
"47","Coyne2008.r","Smoking during","Case mothers","7",3,"Number of people in this category none, 0 / day; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.21,1,"FAS diagnosis"
"48","Coyne2008.r","Smoking during","Control mothers","47.4",27,"Number of people in this category none, 0 / day; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,12.798,0,"FAS diagnosis"
"49","Coyne2008.r","Smoking during","Case mothers","27.9",12,"Number of people in this category none, < 10 /day; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3.348,1,"FAS diagnosis"
"50","Coyne2008.r","Smoking during","Control mothers","31.6",18,"Number of people in this category none, < 10 /day; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,5.688,0,"FAS diagnosis"
"51","Coyne2008.r","Smoking during","Case mothers","18.6",8,"Number of people in this category none, 11-20 /day; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,1.488,1,"FAS diagnosis"
"52","Coyne2008.r","Smoking during","Control mothers","8.8",5,"Number of people in this category none, 11-20 /day; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.44,0,"FAS diagnosis"
"53","Coyne2008.r","Smoking during","Case mothers","46.5",20,"Number of people in this category none, > 20 /day; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,9.3,1,"FAS diagnosis"
"54","Coyne2008.r","Smoking during","Control mothers","12.3",7,"Number of people in this category none, > 20 /day; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0.861,0,"FAS diagnosis"
"55","Coyne2008.r","Alcohol consumption: during a week","Case mothers","22.2",45,"Number of people in this category none, 0 mg/week; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,9.99,1,"FAS diagnosis"
"56","Coyne2008.r","Alcohol consumption: during a week","Control mothers","63.8",47,"Number of people in this category none, 0 mg/week; see table 3 page 244",1,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,29.986,0,"FAS diagnosis"
"57","Coyne2008.r","Alcohol consumption: during a week","Case mothers","0",45,"Number of people in this category mild, <20 mg/week; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,0,1,"FAS diagnosis"
"58","Coyne2008.r","Alcohol consumption: during a week","Control mothers","8.5",47,"Number of people in this category mild, <20 mg/week; see table 3 page 244",2,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,3.995,0,"FAS diagnosis"
"59","Coyne2008.r","Alcohol consumption: during a week","Case mothers","8.9",45,"Number of people in this category moderate, 20-80 mg/week; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.005,1,"FAS diagnosis"
"60","Coyne2008.r","Alcohol consumption: during a week","Control mothers","10.6",47,"Number of people in this category moderate, 20-80 mg/week; see table 3 page 244",3,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,4.982,0,"FAS diagnosis"
"61","Coyne2008.r","Alcohol consumption: during a week","Case mothers","68.9",45,"Number of people in this category heavy, >80 mg/week; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,31.005,1,"FAS diagnosis"
"62","Coyne2008.r","Alcohol consumption: during a week","Control mothers","17",47,"Number of people in this category heavy, >80 mg/week; see table 3 page 244",4,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,FALSE,"ordinal",FALSE,7.99,0,"FAS diagnosis"
"63","Coyne2008.r","FAS diagnosis","Case mothers","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,54,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,TRUE,"logical",TRUE,54,NA,NA
"64","Coyne2008.r","FAS diagnosis","Control mothers","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,56,"records",NA,1994,2006,"Australia","mixed","retrospective",FALSE,TRUE,"logical",TRUE,56,NA,NA
"65","Davies2011.r","Alcohol consumption: during","Case mothers","15.3846153846154",39,"maternal alcohol use during pregnancy average number of weeks; see table 1 page 300",1,NA,NA,NA,NA,NA,NA,NA,39,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,FALSE,"nominal",FALSE,6,1,"FASD diagnosis"
"66","Davies2011.r","Alcohol consumption: during","Control mothers","2.77777777777778",36,"maternal alcohol use during pregnancy average number of weeks; see table 1 page 300",1,NA,NA,NA,NA,NA,NA,NA,36,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,FALSE,"nominal",FALSE,1,0,"FASD diagnosis"
"67","Davies2011.r","Alcohol consumption: during","Case mothers","5.12820512820513",39,"maternal alcohol use during pregnancy average number of weeks; see table 1 page 300",2,NA,NA,NA,NA,NA,NA,NA,39,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,FALSE,"nominal",FALSE,2,1,"FASD diagnosis"
"68","Davies2011.r","Alcohol consumption: during","Control mothers","13.8888888888889",36,"maternal alcohol use during pregnancy average number of weeks; see table 1 page 300",2,NA,NA,NA,NA,NA,NA,NA,36,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,FALSE,"nominal",FALSE,5,0,"FASD diagnosis"
"69","Davies2011.r","Alcohol consumption: during","Case mothers","12.8205128205128",39,"maternal alcohol use during pregnancy average number of weeks; see table 1 page 300",3,NA,NA,NA,NA,NA,NA,NA,39,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,FALSE,"nominal",FALSE,5,1,"FASD diagnosis"
"70","Davies2011.r","Alcohol consumption: during","Control mothers","69.4444444444444",36,"maternal alcohol use during pregnancy average number of weeks; see table 1 page 300",3,NA,NA,NA,NA,NA,NA,NA,36,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,FALSE,"nominal",FALSE,25,0,"FASD diagnosis"
"71","Davies2011.r","Alcohol consumption: during","Case mothers","66.6666666666667",39,"maternal alcohol use during pregnancy average number of weeks; see table 1 page 300",4,NA,NA,NA,NA,NA,NA,NA,39,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,FALSE,"nominal",FALSE,26,1,"FASD diagnosis"
"72","Davies2011.r","Alcohol consumption: during","Control mothers","13.8888888888889",36,"maternal alcohol use during pregnancy average number of weeks; see table 1 page 300",4,NA,NA,NA,NA,NA,NA,NA,36,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,FALSE,"nominal",FALSE,5,0,"FASD diagnosis"
"73","Davies2011.r","FASD diagnosis","Case mothers","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,39,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,39,NA,NA
"74","Davies2011.r","FASD diagnosis","Control mothers","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,36,"records",NA,2002,2003,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,36,NA,NA
"75","Leary2010b.r","Drinking before","Case mothers","1.1",919,"Number of people in this category are abstinent throughout pregnancy, table 1 page e845",1,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,10.109,1,"ARBD diagnosis"
"76","Leary2010b.r","Drinking before","Control mothers no ARBD","19.5",919,"Number of people in this category are abstinent throughout pregnancy, table 1 page e845",1,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,179.205,0,"ARBD diagnosis"
"77","Leary2010b.r","Drinking before","Case mothers","1",1555,"Number of people in this category drink low, see table 1 page e845",2,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,15.55,1,"ARBD diagnosis"
"78","Leary2010b.r","Drinking before","Control mothers no ARBD","33",1555,"Number of people in this category drink low, see table 1 page e845",2,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,513.15,0,"ARBD diagnosis"
"79","Leary2010b.r","Drinking before","Case mothers","0.9",1289,"Number of people in this category drink moderate, see table 1 page e845",3,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,11.601,1,"ARBD diagnosis"
"80","Leary2010b.r","Drinking before","Control mothers no ARBD","27.2",1289,"Number of people in this category drink moderate, see table 1 page e845",3,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,350.608,0,"ARBD diagnosis"
"81","Leary2010b.r","Drinking before","Case mothers","0.8",236,"Number of people in this category drink moderate, see table 1 page e845",4,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,1.888,1,"ARBD diagnosis"
"82","Leary2010b.r","Drinking before","Control mothers no ARBD","5",236,"Number of people in this category drink moderate, see table 1 page e845",4,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,11.8,0,"ARBD diagnosis"
"83","Leary2010b.r","Drinking before","Case mothers","0.7",276,"Number of people in this category drink heavy, see table 1 page e845",5,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,1.932,1,"ARBD diagnosis"
"84","Leary2010b.r","Drinking before","Control mothers no ARBD","5.9",276,"Number of people in this category drink heavy, see table 1 page e845",5,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,16.284,0,"ARBD diagnosis"
"85","Leary2010b.r","Drinking before","Case mothers","3.7",134,"Number of people in this category drink heavy, see table 1 page e845",6,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,4.958,1,"ARBD diagnosis"
"86","Leary2010b.r","Drinking before","Control mothers no ARBD","2.8",134,"Number of people in this category drink heavy, see table 1 page e845",6,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,3.752,0,"ARBD diagnosis"
"87","Leary2010b.r","Drinking before","Case mothers","1.9",209,"Number of people in this category drink heavy, see table 1 page e845",7,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,3.971,1,"ARBD diagnosis"
"88","Leary2010b.r","Drinking before","Control mothers no ARBD","4.4",209,"Number of people in this category drink heavy, see table 1 page e845",7,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,9.196,0,"ARBD diagnosis"
"89","Leary2010b.r","Drinking before","Case mothers","1",105,"Number of people in this category drink heavy, see table 1 page e845",8,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,1.05,1,"ARBD diagnosis"
"90","Leary2010b.r","Drinking before","Control mothers no ARBD","2.2",105,"Number of people in this category drink heavy, see table 1 page e845",8,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,2.31,0,"ARBD diagnosis"
"91","Leary2010b.r","Alcohol consumption: during first trimester","Case mothers","0.9",1922,"Number of people in this category are abstinent throughout pregnancy, table 1 page e845",1,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,17.298,1,"ARBD diagnosis"
"92","Leary2010b.r","Alcohol consumption: during first trimester","Control mothers no ARBD","40.8",1922,"Number of people in this category are abstinent throughout pregnancy, table 1 page e845",1,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,784.176,0,"ARBD diagnosis"
"93","Leary2010b.r","Alcohol consumption: during first trimester","Case mothers","0.9",1324,"Number of people in this category drink low, see table 1 page e845",2,NA,NA,NA,NA,NA,NA,NA,NA,"records",NA,1995,1997,"Australia","non-native","retrospective",TRUE,FALSE,"ordinal",FALSE,11.916,1,"ARBD diagnosis"
